0	2011	A 0.013mm2 5W DC-coupled neural signal acquisition IC with 0.5V supply
0	2011	A 0.24-nJ/bit Super-Regenerative Pulsed UWB Receiver in 0.18-m CMOS
1	2011	A 0.37W 4bit 1MS/s SAR ADC for ultra-low energy radios
1	2011	A 0.5-to-2.5Gb/s reference-less half-rate digital CDR with unlimited frequency acquisition range and improved input duty-cycle error tolerance
1	2011	A 0.5-V Biomedical System-on-a-Chip for Intrabody Communication System
1	2011	A 0.5V 1.1MS/sec 6.3fJ/conversion-step SAR-ADC with tri-level comparator in 40nm CMOS
1	2011	A 0.64 mm^2 Real-Time Cascade Face Detection Design Based on Reduced Two-Field Extraction
1	2011	A 0.7mW 13b temperature-stable MASH TDC with delay-line assisted calibration
2	2011	A 1 W Linear High-Power InP Balanced
2	2011	A 1 W linear high-power InP balanced uni-traveling carrier photodetector
2	2011	A 1,2,3,4,5-pentaphenylferrocene-stoppered rotaxane capable of electrochemical anion recognition.
2	2011	A 1-to-6Gb/s phase-interpolator-based burst-mode CDR in 65nm CMOS
2	2011	A 1-V Process-Insensitive Current-Scalable Two-Stage Opamp With Enhanced DC Gain and Settling Behavior in 65-nm Digital CMOS
3	2011	A 1.21.6-GHz Substrate-Integrated-Waveguide RF MEMS Tunable Filter
3	2011	A 1.75 GHz piezoelectrically-transduced SiC lateral overmoded bulk acoustic-wave resonator
5	2011	A 10 to 11.5GHz rotational phase and frequency detector for clock recovery circuit
6	2011	A 10-MHz Green-Mode Automatic Reconfigurable Switching Converter for DVS-Enabled VLSI Systems
6	2012	A 100Mphoton/s time-resolved mini-silicon photomultiplier with on-chip fluorescence lifetime estimation in 0.13um CMOS imaging technology
7	2011	A 110 MHz to 1.4 GHz Locking 40-Phase All-Digital DLL
7	2012	A 110-dB Dynamic Range, 76-dB Peak SNR Companding Continuous-Time ?S Modulator for Audio Applications
7	2011	A 12-Bit 1-Gsample/s Nyquist Current-Steering DAC in 0.35 µm CMOS for Wireless Transmitter
7	2011	A 12-bit, 45-MS/s, 3-mW Redundant Successive-Approximation-Register Analog-to-Digital Converter With Digital Calibration
8	2011	A 12896 pixel event-driven phase-domain -based fully digital 3D camera in 0.13m CMOS imaging technology
10	2011	A 16 Mfps 165kpixel backside-illuminated CCD
10	2011	A 160W 8-channel active electrode system for EEG monitoring
10	2011	A 160x128 single-photon image sensor with on-pixel 55ps 10bit time-to-digital converter
11	2012	A 1kPixel CMOS Camera Chip for 25fps Real-Time
11	2011	A 2 GHz fractional-N digital PLL with 1b noise shaping TDC
12	2011	A 2.4-GHz Energy-Efficient Transmitter for Wireless Medical Applications
13	2011	A 2.4-V _ pp 60-Gb/s CMOS Driver With Digitally Variable Amplitude and Pre-Emphasis Control at Multiple Peaking Frequencies
13	2011	A 2.4GHz ULP OOK single-chip transceiver for healthcare applications
14	2012	A 2020 GB transmission network study using dispersed wind farm power output
